UP00630A_1	ZNF655
UP00630A_2	ZNF655
UP00630B_1	ZNF655
UP00630B_2	ZNF655
UP00630C_1	ZNF655
UP00630C_2	ZNF655
UP00029A_1	TBP
UP00399A_1	Oct-1
UP00401A_1	Sox4
UP00219A_1	CDP
UP00219A_2	CDP
