PAX6_HUMAN.H11MO.0.C	PAX6
PBX1_HUMAN.H11MO.0.A	PBX1
PBX2_HUMAN.H11MO.0.C	PBX2
PBX3_HUMAN.H11MO.0.A	PBX3
PDX1_HUMAN.H11MO.0.A	PDX1
PEBB_HUMAN.H11MO.0.C	PEBB
PIT1_HUMAN.H11MO.0.C	PIT1
PKNX1_HUMAN.H11MO.0.B	PKNX1
PO2F1_HUMAN.H11MO.0.C	PO2F1
PO2F2_HUMAN.H11MO.0.A	PO2F2
PO3F1_HUMAN.H11MO.0.C	PO3F1
PO3F2_HUMAN.H11MO.0.A	PO3F2
PO5F1_HUMAN.H11MO.0.A	PO5F1
PPARA_HUMAN.H11MO.0.B	PPARA
PPARG_HUMAN.H11MO.0.A	PPARG
PRD14_HUMAN.H11MO.0.A	PRD14
PRDM1_HUMAN.H11MO.0.A	PRDM1
PRDM6_HUMAN.H11MO.0.C	PRDM6
PRGR_HUMAN.H11MO.0.A	PRGR
PRRX2_HUMAN.H11MO.0.C	PRRX2
PTF1A_HUMAN.H11MO.0.B	PTF1A
RARA_HUMAN.H11MO.0.A	RARA
RARG_HUMAN.H11MO.0.B	RARG
RELB_HUMAN.H11MO.0.C	RELB
REL_HUMAN.H11MO.0.B	REL
REST_HUMAN.H11MO.0.A	REST
RFX1_HUMAN.H11MO.0.B	RFX1
RFX2_HUMAN.H11MO.0.A	RFX2
RFX3_HUMAN.H11MO.0.B	RFX3
RFX5_HUMAN.H11MO.0.A	RFX5
RORA_HUMAN.H11MO.0.C	RORA
RORG_HUMAN.H11MO.0.C	RORG
RUNX1_HUMAN.H11MO.0.A	RUNX1
RUNX2_HUMAN.H11MO.0.A	RUNX2
RUNX3_HUMAN.H11MO.0.A	RUNX3
RXRA_HUMAN.H11MO.0.A	RXRA
RXRB_HUMAN.H11MO.0.C	RXRB
RXRG_HUMAN.H11MO.0.B	RXRG
SALL4_HUMAN.H11MO.0.B	SALL4
SIX1_HUMAN.H11MO.0.A	SIX1
SIX2_HUMAN.H11MO.0.A	SIX2
SMAD2_HUMAN.H11MO.0.A	SMAD2
SMAD3_HUMAN.H11MO.0.B	SMAD3
SMAD4_HUMAN.H11MO.0.B	SMAD4
SMCA1_HUMAN.H11MO.0.C	SMCA1
SMCA5_HUMAN.H11MO.0.C	SMCA5
SNAI1_HUMAN.H11MO.0.C	SNAI1
SNAI2_HUMAN.H11MO.0.A	SNAI2
SOX10_HUMAN.H11MO.0.B	SOX10
SOX17_HUMAN.H11MO.0.C	SOX17
SOX2_HUMAN.H11MO.0.A	SOX2
SOX3_HUMAN.H11MO.0.B	SOX3
SOX4_HUMAN.H11MO.0.B	SOX4
SOX5_HUMAN.H11MO.0.C	SOX5
SOX9_HUMAN.H11MO.0.B	SOX9
SP1_HUMAN.H11MO.0.A	SP1
SP2_HUMAN.H11MO.0.A	SP2
SP3_HUMAN.H11MO.0.B	SP3
SP4_HUMAN.H11MO.0.A	SP4
SPI1_HUMAN.H11MO.0.A	SPI1
SPIB_HUMAN.H11MO.0.A	SPIB
SRBP1_HUMAN.H11MO.0.A	SRBP1
SRBP2_HUMAN.H11MO.0.B	SRBP2
SRF_HUMAN.H11MO.0.A	SRF
SRY_HUMAN.H11MO.0.B	SRY
STA5A_HUMAN.H11MO.0.A	STA5A
STA5B_HUMAN.H11MO.0.A	STA5B
STAT1_HUMAN.H11MO.0.A	STAT1
STAT2_HUMAN.H11MO.0.A	STAT2
STAT3_HUMAN.H11MO.0.A	STAT3
STAT4_HUMAN.H11MO.0.A	STAT4
STAT6_HUMAN.H11MO.0.B	STAT6
STF1_HUMAN.H11MO.0.B	STF1
SUH_HUMAN.H11MO.0.A	SUH
TAF1_HUMAN.H11MO.0.A	TAF1
TAL1_HUMAN.H11MO.0.A	TAL1
TBP_HUMAN.H11MO.0.A	TBP
TBX21_HUMAN.H11MO.0.A	TBX21
TBX3_HUMAN.H11MO.0.C	TBX3
TCF7_HUMAN.H11MO.0.A	TCF7
TEAD1_HUMAN.H11MO.0.A	TEAD1
TEAD4_HUMAN.H11MO.0.A	TEAD4
TF65_HUMAN.H11MO.0.A	TF65
TF7L1_HUMAN.H11MO.0.B	TF7L1
TF7L2_HUMAN.H11MO.0.A	TF7L2
TFAP4_HUMAN.H11MO.0.A	TFAP4
TFDP1_HUMAN.H11MO.0.C	TFDP1
TFE2_HUMAN.H11MO.0.A	TFE2
TFE3_HUMAN.H11MO.0.B	TFE3
TFEB_HUMAN.H11MO.0.C	TFEB
TGIF1_HUMAN.H11MO.0.A	TGIF1
THA11_HUMAN.H11MO.0.B	THA11
THAP1_HUMAN.H11MO.0.C	THAP1
THA_HUMAN.H11MO.0.C	THA
THB_HUMAN.H11MO.0.C	THB
TWST1_HUMAN.H11MO.0.A	TWST1
TYY1_HUMAN.H11MO.0.A	TYY1
USF1_HUMAN.H11MO.0.A	USF1
USF2_HUMAN.H11MO.0.A	USF2
VDR_HUMAN.H11MO.0.A	VDR
VEZF1_HUMAN.H11MO.0.C	VEZF1
WT1_HUMAN.H11MO.0.C	WT1
Z324A_HUMAN.H11MO.0.C	Z324A
Z354A_HUMAN.H11MO.0.C	Z354A
ZBT14_HUMAN.H11MO.0.C	ZBT14
ZBT17_HUMAN.H11MO.0.A	ZBT17
ZBT18_HUMAN.H11MO.0.C	ZBT18
ZBT48_HUMAN.H11MO.0.C	ZBT48
ZBT7A_HUMAN.H11MO.0.A	ZBT7A
ZBTB6_HUMAN.H11MO.0.C	ZBTB6
ZEB1_HUMAN.H11MO.0.A	ZEB1
ZFP28_HUMAN.H11MO.0.C	ZFP28
ZFP42_HUMAN.H11MO.0.A	ZFP42
ZFP82_HUMAN.H11MO.0.C	ZFP82
ZFX_HUMAN.H11MO.0.A	ZFX
ZIC1_HUMAN.H11MO.0.B	ZIC1
ZIC3_HUMAN.H11MO.0.B	ZIC3
ZIM3_HUMAN.H11MO.0.C	ZIM3
ZKSC1_HUMAN.H11MO.0.B	ZKSC1
ZN121_HUMAN.H11MO.0.C	ZN121
ZN134_HUMAN.H11MO.0.C	ZN134
ZN136_HUMAN.H11MO.0.C	ZN136
ZN140_HUMAN.H11MO.0.C	ZN140
ZN143_HUMAN.H11MO.0.A	ZN143
ZN214_HUMAN.H11MO.0.C	ZN214
ZN250_HUMAN.H11MO.0.C	ZN250
ZN257_HUMAN.H11MO.0.C	ZN257
ZN260_HUMAN.H11MO.0.C	ZN260
ZN263_HUMAN.H11MO.0.A	ZN263
ZN264_HUMAN.H11MO.0.C	ZN264
ZN274_HUMAN.H11MO.0.A	ZN274
ZN281_HUMAN.H11MO.0.A	ZN281
ZN317_HUMAN.H11MO.0.C	ZN317
ZN320_HUMAN.H11MO.0.C	ZN320
ZN322_HUMAN.H11MO.0.B	ZN322
ZN329_HUMAN.H11MO.0.C	ZN329
ZN331_HUMAN.H11MO.0.C	ZN331
ZN335_HUMAN.H11MO.0.A	ZN335
ZN341_HUMAN.H11MO.0.C	ZN341
ZN350_HUMAN.H11MO.0.C	ZN350
ZN382_HUMAN.H11MO.0.C	ZN382
ZN384_HUMAN.H11MO.0.C	ZN384
ZN394_HUMAN.H11MO.0.C	ZN394
ZN418_HUMAN.H11MO.0.C	ZN418
ZN436_HUMAN.H11MO.0.C	ZN436
ZN449_HUMAN.H11MO.0.C	ZN449
ZN467_HUMAN.H11MO.0.C	ZN467
ZN490_HUMAN.H11MO.0.C	ZN490
ZN502_HUMAN.H11MO.0.C	ZN502
ZN528_HUMAN.H11MO.0.C	ZN528
ZN547_HUMAN.H11MO.0.C	ZN547
ZN549_HUMAN.H11MO.0.C	ZN549
ZN554_HUMAN.H11MO.0.C	ZN554
ZN563_HUMAN.H11MO.0.C	ZN563
ZN582_HUMAN.H11MO.0.C	ZN582
ZN586_HUMAN.H11MO.0.C	ZN586
ZN667_HUMAN.H11MO.0.C	ZN667
ZN680_HUMAN.H11MO.0.C	ZN680
ZN708_HUMAN.H11MO.0.C	ZN708
ZN768_HUMAN.H11MO.0.C	ZN768
ZN770_HUMAN.H11MO.0.C	ZN770
ZN816_HUMAN.H11MO.0.C	ZN816
ZNF18_HUMAN.H11MO.0.C	ZNF18
ZNF41_HUMAN.H11MO.0.C	ZNF41
ZNF76_HUMAN.H11MO.0.C	ZNF76
ZNF85_HUMAN.H11MO.0.C	ZNF85
ZNF8_HUMAN.H11MO.0.C	ZNF8
ZSC22_HUMAN.H11MO.0.C	ZSC22
ZSC31_HUMAN.H11MO.0.C	ZSC31
