JUND_MA0491.2	JUND
JUND_MA0492.1	JUND
KAISO_KAISO_HUMAN.H11MO.0.A	KAISO
KLF1_KLF1_HUMAN.H11MO.0.A	KLF1
KLF1_M08293_2.00	KLF1
KLF1_MA0493.2	KLF1
KLF10_M08246_2.00	KLF10
KLF10_M08317_2.00	KLF10
KLF10_MA1511.2	KLF10
KLF12_KLF12_HUMAN.H11MO.0.C	KLF12
KLF12_M08299_2.00	KLF12
KLF12_MA0742.2	KLF12
KLF14_M08398_2.00	KLF14
KLF14_MA0740.2	KLF14
KLF15_KLF15_HUMAN.H11MO.0.A	KLF15
KLF15_M08323_2.00	KLF15
KLF15_MA1513.1	KLF15
KLF3_KLF3_HUMAN.H11MO.0.B	KLF3
KLF4_KLF4_HUMAN.H11MO.0.A	KLF4
KLF4_M08091_2.00	KLF4
KLF4_M08243_2.00	KLF4
KLF4_MA0039.4	KLF4
KLF5_KLF5_HUMAN.H11MO.0.A	KLF5
KLF5_M08086_2.00	KLF5
KLF5_MA0599.1	KLF5
KLF6_KLF6_HUMAN.H11MO.0.A	KLF6
KLF7_M08298_2.00	KLF7
KLF7_MA1959.1	KLF7
KLF8_KLF8_HUMAN.H11MO.0.C	KLF8
KLF9_KLF9_HUMAN.H11MO.0.C	KLF9
KLF9_M08088_2.00	KLF9
KLF9_MA1107.2	KLF9
LEF1_LEF1_HUMAN.H11MO.0.A	LEF1
LHX2_LHX2_HUMAN.H11MO.0.A	LHX2
LHX2_MA0700.2	LHX2
LHX3_LHX3_HUMAN.H11MO.0.C	LHX3
LYL1_LYL1_HUMAN.H11MO.0.A	LYL1
MAF_MAF_HUMAN.H11MO.0.A	MAF
MAFNFE2_MA0501.1	MAFNFE2
MAFB_MAFB_HUMAN.H11MO.0.B	MAFB
MAFF_M07839_2.00	MAFF
MAFF_M08074_2.00	MAFF
MAFF_MA0495.3	MAFF
MAFF_MAFF_HUMAN.H11MO.0.B	MAFF
MAFG_MAFG_HUMAN.H11MO.0.A	MAFG
MAFGNFE2L1_MA0089.2	MAFGNFE2L1
MAFK_M07840_2.00	MAFK
MAFK_M07841_2.00	MAFK
MAFK_M08075_2.00	MAFK
MAFK_MA0496.3	MAFK
MAFK_MAFK_HUMAN.H11MO.0.A	MAFK
MAX_M07791_2.00	MAX
MAX_M07792_2.00	MAX
MAX_M07793_2.00	MAX
MAX_M07794_2.00	MAX
MAX_M07795_2.00	MAX
MAX_M07796_2.00	MAX
MAX_M07797_2.00	MAX
MAX_MAX_HUMAN.H11MO.0.A	MAX
MAZ_M08290_2.00	MAZ
MAZ_MA1522.1	MAZ
MAZ_MAZ_HUMAN.H11MO.0.A	MAZ
MBD2_MBD2_HUMAN.H11MO.0.B	MBD2
MECP2_MECP2_HUMAN.H11MO.0.C	MECP2
MEF2A_M07979_2.00	MEF2A
MEF2A_M08212_2.00	MEF2A
MEF2A_M08213_2.00	MEF2A
MEF2A_MA0052.4	MEF2A
MEF2A_MEF2A_HUMAN.H11MO.0.A	MEF2A
MEF2B_MEF2B_HUMAN.H11MO.0.A	MEF2B
MEF2C_M07980_2.00	MEF2C
MEF2C_M08149_2.00	MEF2C
MEF2C_MA0497.1	MEF2C
MEF2C_MEF2C_HUMAN.H11MO.0.A	MEF2C
MEF2D_MEF2D_HUMAN.H11MO.0.A	MEF2D
MEIS1_MA1639.1	MEIS1
MEIS1_MEIS1_HUMAN.H11MO.0.A	MEIS1
MEIS2_MA1640.1	MEIS2
MEIS2_MEIS2_HUMAN.H11MO.0.B	MEIS2
MITF_M08058_2.00	MITF
MITF_MA0620.3	MITF
MITF_MITF_HUMAN.H11MO.0.A	MITF
MTF1_MTF1_HUMAN.H11MO.0.C	MTF1
MXI1_M07790_2.00	MXI1
MXI1_M08051_2.00	MXI1
MXI1_M08181_2.00	MXI1
MXI1_M08182_2.00	MXI1
MXI1_MA1108.2	MXI1
MXI1_MXI1_HUMAN.H11MO.0.A	MXI1
MYB_M08150_2.00	MYB
MYB_MA0100.3	MYB
MYB_MYB_HUMAN.H11MO.0.A	MYB
MYC_M07799_2.00	MYC
MYC_M07800_2.00	MYC
MYC_M07801_2.00	MYC
MYC_M07802_2.00	MYC
MYC_M07803_2.00	MYC
MYC_M07804_2.00	MYC
MYC_M08054_2.00	MYC
MYC_MA0147.3	MYC
MYC_MYC_HUMAN.H11MO.0.A	MYC
MYCN_M08053_2.00	MYCN
MYCN_MA0104.4	MYCN
MYCN_MYCN_HUMAN.H11MO.0.A	MYCN
MYF5_MA1641.1	MYF5
MYF6_MYF6_HUMAN.H11MO.0.C	MYF6
MYNN_M08283_2.00	MYNN
MYOD1_MA0499.2	MYOD1
MYOD1_MYOD1_HUMAN.H11MO.0.A	MYOD1
MYOG_MA0500.2	MYOG
MYOG_MYOG_HUMAN.H11MO.0.B	MYOG
MZF1_M08236_2.00	MZF1
