motif_id	tf_name	tf_class	tf_family	tf_subfamily
CTCF_M07880_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07881_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07882_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07883_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07884_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07885_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07886_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07887_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07888_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07889_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07890_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07891_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07892_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07893_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07894_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07895_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07896_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07897_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07898_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07899_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07900_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07901_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07902_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07903_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07904_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07905_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07906_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07907_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07908_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07909_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07910_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07911_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07912_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07913_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07914_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07915_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07916_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07917_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07918_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07919_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07920_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07921_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07922_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCF_M07923_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
